Company Name, Symbol, Market, Price, Shares, Offer Amount, Date Priced,
 FACEBOOK INC,FB,Nasdaq Global Market,$38,421233615,$16006877370,5/18/2012,
 EDWARDS GROUP LTD,EVAC,Nasdaq National Market,$8,12500000,$100000000,5/11/2012,
 IGNITE RESTAURANT GROUP INC.,IRG,Nasdaq National Market,$14,5769231,$80769234,5/11/2012,
 AUDIENCE INC,ADNC,Nasdaq National Market,$17,5270180,$89593060,5/10/2012,
 WAGEWORKS INC.,WAGE,New York Stock Exchange,$9,6500000,$58500000,5/10/2012,
 WESTERN ASSET MORTGAGE CAPITAL CORP,WMC,New York Stock Exchange,$20,8000000,$160000000,5/10/2012,
 ANTRIABIO INC.,FMYY,OTCBB,$0.05,786000,$39300,5/8/2012,
 TILLY'S INC.,TLYS,New York Stock Exchange,$15.50,8000000,$124000000,5/4/2012,
 PETROLOGISTICS LP,PDH,New York Stock Exchange,$17,35000000,$595000000,5/4/2012,
 PACIFIC COAST OIL TRUST,ROYT,New York Stock Exchange,$20,18500000,$370000000,5/3/2012,
 CARLYLE GROUP L.P.,CG,Nasdaq National Market,$22,30500000,$671000000,5/3/2012,
 EVERBANK FINANCIAL CORP,EVER,New York Stock Exchange,$10,19220000,$192200000,5/3/2012,
 SUPERNUS PHARMACEUTICALS INC,SUPN,Nasdaq National Market,$5,10000000,$50000000,5/1/2012,
 
