Company Name, Symbol, Market, Price, Shares, Offer Amount, Date Priced,
 AQUASITION CORP.,AQUUU,Nasdaq SmallCap Market,$10,5000000,$50000000,10/26/2012,
 NUVEEN LONG/SHORT COMMODITY TOTAL RETURN FUND,CTF,American Stock Exchange,$25,18800000,$470000000,10/26/2012,
 MPLX LP,MPLX,New York Stock Exchange,$22,17300000,$380600000,10/26/2012,
 WHITEWAVE FOODS CO,WWAV,New York Stock Exchange,$17,23000000,$391000000,10/26/2012,
 METHES ENERGIES INTERNATIONAL LTD,MEILU,Nasdaq SmallCap Market,$5,560000,$2800000,10/25/2012,
 LEHIGH GAS PARTNERS LP,LGP,New York Stock Exchange,$20,6000000,$120000000,10/25/2012,
 COLLABRIUM JAPAN ACQUISITION CORP,JACQU,Nasdaq SmallCap Market,$10,4000000,$40000000,10/19/2012,
 SEADRILL PARTNERS LLC,SDLP,New York Stock Exchange,$22,8750000,$192500000,10/19/2012,
 SERVICE TEAM INC.,SVTE,OTCBB,$1,5000000,$5000000,10/17/2012,
 WORKDAY INC.,WDAY,New York Stock Exchange,$28,22750000,$637000000,10/12/2012,
 DIAMONDBACK ENERGY INC.,FANG,Nasdaq National Market,$17.50,12500000,$218750000,10/12/2012,
 LINN ENERGY LLC,LNCO,Nasdaq National Market,$36.50,30250000,$1104125000,10/12/2012,
 INTERCEPT PHARMACEUTICALS INC,ICPT,Nasdaq National Market,$15,5000000,$75000000,10/11/2012,
 KYTHERA BIOPHARMACEUTICALS INC,KYTH,Nasdaq National Market,$16,4400000,$70400000,10/11/2012,
 SHUTTERSTOCK INC.,SSTK,New York Stock Exchange,$17,4500000,$76500000,10/11/2012,
 REALOGY HOLDINGS CORP.,RLGY,New York Stock Exchange,$27,40000000,$1080000000,10/11/2012,
 AMBARELLA INC,AMBA,Nasdaq National Market,$6,6000000,$36000000,10/10/2012,
 AMIRA NATURE FOODS LTD.,ANFI,New York Stock Exchange,$10,9000000,$90000000,10/10/2012,
 FLEETMATICS GROUP PLC,FLTX,New York Stock Exchange,$17,7812500,$132812500,10/5/2012,
 BERRY PLASTICS GROUP INC,BERY,New York Stock Exchange,$16,29411764,$470588224,10/4/2012,
 REGULUS THERAPEUTICS INC.,RGLS,Nasdaq National Market,$4,11250000,$45000000,10/4/2012,
 LIFELOCK INC.,LOCK,New York Stock Exchange,$9,15700000,$141300000,10/3/2012,
 LUXFER HOLDINGS PLC,LXFR,New York Stock Exchange,$10,8000000,$80000000,10/3/2012,
 JAVELIN MORTGAGE INVESTMENT CORP.,JMI,New York Stock Exchange,$20,7250000,$145000000,10/3/2012,
 
