Company Name, Symbol, Market, Price, Shares, Offer Amount, Date Priced,
 YY INC.,YY,Nasdaq National Market,$10.50,7800000,$81900000,11/21/2012,
 ALON USA PARTNERS LP,ALDW,New York Stock Exchange,$16,10000000,$160000000,11/20/2012,
 WHEELER REAL ESTATE INVESTMENT TRUST INC.,WHLR,Nasdaq SmallCap Market,$5.25,4000000,$21000000,11/19/2012,
 RUCKUS WIRELESS INC,RKUS,New York Stock Exchange,$15,8400000,$126000000,11/16/2012,
 OVASCIENCE INC.,OVSC,OTCBB,$8,7630683,$61045464,11/14/2012,
 ATOSSA GENETICS INC,ATOS,Nasdaq SmallCap Market,$5,800000,$4000000,11/8/2012,
 BLUE WATER RESTAURANT GROUP INC.,BUWR,OTCBB,$0.01,26300000,$263000,11/8/2012,
 DELEK LOGISTICS PARTNERS LP,DKL,New York Stock Exchange,$21,8000000,$168000000,11/2/2012,
 RESTORATION HARDWARE HOLDINGS INC,RH,New York Stock Exchange,$24,5164332,$123943968,11/2/2012,
 SOUTHCROSS ENERGY PARTNERS L.P.,SXE,New York Stock Exchange,$20,9000000,$180000000,11/2/2012,
 
