SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
DX486        EXPECTED_REPORT_PERIOD              Expected Earnings Report Period         
IS053        IS_SPECIAL_EPS                      Special EPS                             
DS786        EXPECTED_REPORT_DT                  Expected Earnings Report Date           
RR236        RR_DIL_EPS_CONT_OPS_GROWTH          Diluted EPS from Continuing Ops - 1 Yr Growth
BE653        BEST_EPS_GAAP                       BEst EPS GAAP                           
IS063        IS_DILUTED_EPS                      Diluted EPS                             
DS440        EQY_INIT_PO_SH_PX                   Initial Pub Offer Share Price           
EE003        EEPS_NXT_YR                         Est EPS Next Year                       
F0197        PRICE_TO_COMPARABLE_EPS             Price to Comparable Earnings per Share  
RR059        EBITDA_TO_TOT_INT_EXP               EBITDA to Tot Int Exp                   

RT009        EQY_TRR_PCT_YTD                     Total Return Year To Date Pct           
RK475        EARNINGS_RELATED_IMPLIED_MOVE       Earnings Related Implied Move           
DV093        EQY_DVD_SPL_SPLIT_RATIO_NEXT        Next Stock Split Ratio                  
PR956        SI_PERCENT_EQUITY_FLOAT             Short Interest Percent of Equity Float  
RR115        EBITDA_MARGIN                       EBITDA Margin                           
ID042        ID_BB_PRIM_SECURITY                 Equity Primary Security ID              
IN065        IDX_EST_GEN_EARN_NXT_YR             Index Est General Earnings Next Year    
RX243        FREE_CASH_FLOW_EQUITY               Free Cash Flow to Equity                
EZ019        BEST_EEPS_CUR_YR                    BEst Est EPS Curr Year                  
IS060        IS_AVG_NUM_SH_FOR_EPS               Average Number of Shares                
RR958        CURRENT_EV_TO_T12M_EBIT             EV to Trailing 12M EBIT                 
SW014        SW_EQV_DUR                          Swap Equivalent Duration                
RR722        3YR_AVG_RETURN_ON_EQUITY            3 Year Average Return On Equity         
IS064        IS_EARN_BEF_XO_ITEMS_PER_SH         Basic EPS Before XO                     
CX002        EST_EV_NEXT_YR_EBITDA               EV/Next Yr Est EBITDA                   
RR044        COM_EQY_TO_TOT_ASSET                Common Equity to Tot Assets             
RQ213        EQY_TURNOVER_REALTIME               Equity Turnover / Traded Value          
BS061        BS_PFD_EQY                          Preferred Equity                        
RR220        EQY_AND_RE_INVEST_TO_TOT_INVEST     Equity & RE Investments To Total Invest 
RR901        REL_PE_RATIO                        Relative P/E Ratio                      
DS980        EQY_IPO_LOCKUP_DT                   Initial Pub Offer Lockup Period End Date
DS210        EQY_INST_SH_HELD                    Instit Owner # of Shares Held           
