SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
FC391        FDIC_PAST_DUE_90+_RE_LOANS          FDIC 90+ Days Past Due Real Estate Loans
FC209        FDIC_GR_CHGOFF_RE_LOANS             FDIC Gross Charge-Offs Real Estate Loans
M4862        SS_TENANT_RECOV_HCR_LIFE_SCIENCE    Same Store Tenant Recovery HCR (Life Science)
FC415        FDIC_NON_ACCRL_RE_NON_US            FDIC Non-Accrual Real Estate Loans Non-US Address
FY082        FED_RE_LNS_ACQRD_COMBO_UNCOLLECT    Fed RE Lns Acquired Busn Combination Uncollected
M4865        SS_STR_LINE_RENTS_HCR_LIFE_SCI      Same Store Straight Line Rents HCR (Life Science)
S4747        ARDR_RE_WITH_INSUR_PORT_P&C         ARDR Real Estate within Insurance Portfolio P&C
M4847        SS_#_UNITS_HCR_SEN_HOUSING_OPER     SS Number Units HCR Senior Housing (Operating)
M4854        ARSF_HCR_MEDICAL_OFFICE             Average Rent per Square Foot HCR (Medical Office)
FY080        FED_RE_LNS_ACQRD_BUSN_COMBO_FV      Fed RE Lns Acquired Business Combination FV

J1653        ARDJ_INC_RE_INS_ACC_REC             Japan ARD Inc/Dec In Re-Insurance Acct Receivables
M4861        SS_RNTREV_HCR_LIFE_SCIENCE          Same Store Rental Revenues HCR (Life Science)
J1656        ARDJ_INC_RE_INS_ACC_PAY             Japan ARD Inc/Dec In Re-Insurance Accounts Payable
M4856        SS_INVESTMENT_HCR_MEDICAL_OFFICE    Same Store Investment HCR (Medical Office)
A7297        ARD_COSTS_INV_ADVISORY_BUSN_RE      ARD Costs Of Investment Advisory Busn On RE
S2321        ARDR_CHARGE_OFFS_RESIDENTIAL_RE     ARD Ref Charge Offs: Residential RE     
S2319        ARDR_CHARGE_OFFS_COMMERCIAL_RE      ARD Ref Charge Offs: Commercial RE      
A7306        ARD_COSTS_SALES_RE_PURCH_OTHER      ARD Costs Of Sales For Real Estate Purchased-Other
M4857        NOI_MARGIN_HCR_MEDICAL_OFFICE       Net Operating Income Margin HCR (Medical Office)
R7387        ARDR_RENTAL_INC_RE_AFFILIATES       ARD Ref Rental Income Of Real Estate-Affiliates
S1211        ARDR_NON_PERF_LOAN_COMMERCIAL_RE    ARD Ref Non Performing Loan: Commercial RE
R7088        ARDR_NET_PROF_LOSS_RE_RENT_BUSN     ARD Ref Net Profit (Loss) Of RE Rental Business
J3734        ARDJ_LSS_RE_CPRTV_CRDT_PRCH         Japan ARD Loss Re Cooperativ Credit Purchasing Co
R7747        ARDR_INVST_ADVISORY_INCOME_RE       ARD Ref Investment Advisory Income on Real Estate
S3305        ARDR_INT_INC_AVG_RE_CONST           ARD Ref Int Income-Average RE Construction
A5981        ARD_ALLOW_DBT_ACCT_CONT_RE_SALES    ARD Allow for Doubtful Acct-Contract/RE Sales
A6054        ARD_CHG_REC_CONTRACT_RE_SALES       ARD Chg in Rec from Contract/Real Estate Sales
R2164        ARDR_REIT_TAXABLE_INCOME            ARD Ref Reit Taxable Income             
A6060        ARD_CHG_CONSTRUCTION_RE_COST_PAY    ARD Chg in Construction/Real Estate Cost Payable
R0847        ARDR_INVEST_IN_RE_JOINT_VENTURE     ARD Ref Investments In Real Estate Joint Ventures
A7169        ARD_CHG_RSRV_RE_INVESTMENT_LOSS     ARD Chg In Reserve For Real Estate Investment Loss
R5553        ARDR_NET_INTAN_ASSET_RE_RTS         ARD Ref Net Intangible Asset-Real Estate Rights
R7305        ARDR_COSTS_RE_INVESTMENT_BUSN       ARD Ref Costs of Real Estate Investment Business
R7264        ARDR_MGMT_FEES_RE_INVST_FUND        ARD Ref Management Fees on Real Estate Invest Fund
R4393        ARDR_DEPREC_AMORT_OF_RE_PROP        ARD Ref Depreciation & Amort Of Real Estate Prop
S3304        ARDR_AVG_RE_CONST_LOAN_YIELD        ARD Ref Average Real Estate Construction Loan Yld
FC705        FDIC_%_NET_CHGOFF_COMM_RE           FDIC % Net Charge-Offs Commercial Real Estate
R4340        ARDR_REIT_SETUP_COST_AMORT          ARD Ref REIT Setup Cost Amortization    
B5898        ARD_AST_ALC_DIR_RE_INV_REAL_AST     ARD Ast Allocation - Direct RE Invest Real Ast
RX160        NPLS_90_DAYS_PAST_OREO_TO_ASSETS    Non-Performing Loans 90 Days OREO to Total Assets
FC252        FDIC_NET_CHGOFF_RE_LOANS            FDIC Net Charge-Offs Real Estate Loans  
B0406        ARD_RE_NAV_BEFORE_DEFERRED_TAX      ARD Real Estate-NAV before Deferred Taxes
J3593        ARDJ_PAY_RE_SEC_DEPS                Japan ARD Payment For Re Security Deposits Rec'd
J3569        ARDJ_NCUR_RE_SEC_DEPS               Japan ARD Noncurrent Re Security Deposits Rec'd
J3570        ARDJ_TNCUR_RE_SEC_DEPS              Japan ARD Trust Noncurr Re Security Deposit Rec'd
RX460        FDIC_RE_LOANS_%_TOTAL_LOANS         FDIC Real Estate Loans % of Total Loans 
A0838        ARD_EXTINGUISHMENT_OF_DEBT          ARD Extinguishment of Debt              
RR548        RETAIN_EARN_NOT_INFL                Retained Earn Not Inflation             
RR489        EARN_ASSETS_TO_TOT_ASSETS           Earn Assets To Total Assets             
FC709        FDIC_%_NET_CHGOFF_OTHER_RE          FDIC % Net Charge-Offs Other Real Estate
F0087        FED_CRE_LOANS_INCLUDING_APT_DOM     Fed CRE Loans Including Apartment Domestic
PG318        PG_DISTRIBUTABLE_EARNINGS           Product/Geographic Distributable Earnings
IS455        DAILY_PROD_MBOE_SE_ASIA             Energy-Thousands of BOE per Day SE Asia 
M0927        INFER_RSRVS_CONT_LI_CARBON_EQUIV    Inferred Reserves Contained Li Carbonate Equiv
M0921        P&P_RSRVS_CONT_LI_CARBON_EQUIV      P&P Reserves Contained Lithium Carbonate Equiv
M0924        M&I_RSRVS_CONT_LI_CARBON_EQUIV      M&I Reserves Contained Lithium Carbonate Equiv
A9775        ARD_DCRS_DUE_MERG_ASSCD_COMPS_ES    ARD Dcrs Due to Mrgr of Assc Comps Und Eqy ES SCS
A9647        ARD_INCR_DUE_MRGR_ASSCD_COMPS_ES    ARD Incr Due to Mrgr of Assc Comps Und Eqy ES SCS
A9646        ARD_INCR_DUE_DCRS_ASSCD_COMPS_ES    ARD Incr Due to Dcrs in Assc Comps Und Eqy ES SCS
A9645        ARD_INCR_DUE_INCR_ASSCD_COMPS_ES    ARD Incr Due to Incr in Assc Comps Und Eqy ES SCS
A9773        ARD_DEC_DUE_INCR_ASSCD_COMPS_ES     ARD Dcrs Due to Incr in Assc Comps Und Eqy ES SCS
A9774        ARD_DCRS_DUE_DCRS_ASSCD_COMPS_ES    ARD Dcrs Due to Dcrs in Assc Comps Und Eqy ES SCS
A9644        ARD_INCR_DUE_CHG_ASSCD_COMPS_ES     ARD Incr Due to Chg in Assc Comps Und Eqy ES SCS
RT046        PREV_BUS_TRR_MTD                    Month To Date Total Return - Prev Business Day
B5731        ARD_PRV_UNDEV_TOT_OIL_EQUIV_AFR     ARD Proved Undeveloped Total Oil Equiv - Africa
B5737        ARD_PRV_UNDEV_TOT_OIL_EQUIV_ASIA    ARD Proved Undeveloped Total Oil Equiv - Asia
B4419        ARD_GOLD_EQUIV_REF_SMELTED_PROD     ARD Gold Equivalents Refined Smelted Production
RR643        GEO_GROW_COM_EQY_TO_ASSET           Common Equity/Assets - 5 Yr Geometric Growth
BS438        TOTAL_PRODUCTION_LAMR_MBOE_DY       Energy-MBOE/D-Latin America             
BS454        TOTAL_PRODUCTION_ASIA_PAC_MBOE_D    Energy-MBOE/D-Asia                      
B5718        ARD_PRV_UNDEV_TOT_OIL_EQUIV_CAN     ARD Proved Undeveloped Total Oil Equiv - Canada
SI151        BOE_EXTENS_DISCOV_US                Energy-BOE-Extensions&Discoveries-US    
B1381        ARD_BOE_EXTENS_DISCOV_CANADA        ARD Energy-BOE-Extensions&Discoveries-Canada
A0224        ARD_FUEL_EXP                        ARD Fuel Expense                        
RR641        GEO_GROW_DEBT_TO_COM_EQY            Debt to Common Equity - 5 Yr Geometric Growth
B0481        ARD_MINING_AU_EQUIV_PROD_PLANNED    ARD Mining-Gold Equivalent Production Planned
J1364        ARDJ_CAS_CAS_EQU_BEG_YR             Japan ARD Cash And Cash Equivalents At Beginning
X1266        AMBEST_TOT_INV_AST_LESS_C&CE        A.M. Best Total Invested Assets Less C&CE
R2242        ARDR_TOT_INVEST_CASH_CASH_EQUIV     ARD Ref Total Investments Cash and Equivalents
CG026        TOT_OPT_AWD_GIVEN_TO_COO_&_EQUIV    Total Option Awards Given to COO and Equivalent
CG014        ALL_OTHER_COMP_PD_TO_CFO_&_EQUIV    All Other Compensation Paid to CFO and Equivalent
CG040        TOT_SAL_&_BNS_PD_TO_CIO_&_EQUIV     Total Salaries & Bonuses Paid to CIO & Equivalent
CG036        TOT_OPT_AWD_GIVEN_TO_CIO_&_EQUIV    Total Option Awards Given to CIO and Equivalent
CG035        TOT_STK_AWD_GIVEN_TO_CIO_&_EQUIV    Total Stock Awards Given to CIO and Equivalent
CG034        ALL_OTHER_COMP_PD_TO_CIO_&_EQUIV    All Other Compensation Paid to CIO and Equivalent
CG030        TOT_SAL_&_BNS_PD_TO_COO_&_EQUIV     Total Salaries & Bonuses Paid to COO & Equivalent
CG025        TOT_STK_AWD_GIVEN_TO_COO_&_EQUIV    Total Stock Awards Given to COO and Equivalent
CG024        ALL_OTHER_COMP_PD_TO_COO_&_EQUIV    All Other Compensation Paid to COO and Equivalent
CG020        TOT_SAL_&_BNS_PD_TO_CFO_&_EQUIV     Total Salaries & Bonuses Paid to CFO & Equivalent
CG016        TOT_OPT_AWD_GIVEN_TO_CFO_&_EQUIV    Total Option Awards Given to CFO and Equivalent
CG015        TOT_STK_AWD_GIVEN_TO_CFO_&_EQUIV    Total Stock Awards Given to CFO and Equivalent
J3786        ARDJ_GDWL_AMNT_EQV_TR1              Japan ARD Goodwill Amount Equivalent (Tier1)
A8898        ARD_GOODWILL_EQUIV_TIER1_BIS        ARD Goodwill Equivalent Tier 1 - BIS    
A8875        ARD_DEF_TAXES_EQUIV_TIER1_LOC       ARD Deferred Taxes Equivalent Tier 1 Local Std
B0734        ARD_SAME_HOSP_REV_PER_EQUIV_ADM     ARD Same Hospital Revenue per Equivalent Admission
CG029        TOT_OTHER_COMP_PD_TO_COO_&_EQUIV    Total Other Compensation Paid to COO & Equivalent
CG019        TOT_OTHER_COMP_PD_TO_CFO_&_EQUIV    Total Other Compensation Paid to CFO & Equivalent
CG039        TOT_OTHER_COMP_PD_TO_CIO_&_EQUIV    Total Other Compensation Paid to CIO & Equivalent
A1562        ARD_ENERGY_BOE_START_YR_EUROPE      ARD Energy-BOE-Start Yr-Europe          
A1566        ARD_ENERGY_BOE_PURCHASE_EUROPE      ARD Energy-BOE-Purchases-Europe         
A1567        ARD_ENERGY_BOE_SALES_EUROPE         ARD Energy-BOE-Sales-Europe             
A1569        ARD_ENERGY_BOE_OTH_CHG_EUROPE       ARD Energy-BOE-Other Chg-Europe         
A1571        ARD_ENERGY_BOE_DEV_RSRV_EUROPE      ARD Energy-BOE-Dev Reserves-Europe      
A1563        ARD_ENERGY_BOE_REVISION_EUROPE      ARD Energy-BOE-Revisions-Europe         
PR453        PX_LOW_PM                           Low Price PM Session                    
IR522        TOT_EMBEDDED_VALUE_EARNINGS_SUM     Total Embedded Value Earnings - Sum     
PX253        PX_YEST_CLOSE_EXCH_UNADJ            Exchange's Yesterday Close Price Unadjusted
IA520        NEWBLDGS_CONTAINER_CAP_TEU_MED      Newbuildings Container Capacity (TEU) Median
B1597        ARD_REIT_REPORTING_ENTITY_STAKE     ARD REITs Stake Owned by the Reporting Entity
B4492        ARD_INFERRED_RESERVES_CONT_LCE      As Reported Data Inferred Reserves Contained LCE

A5001        ARD_INC_EARNED_DIR_FIN_LEASES       ARD Income Earned From Direct Financing Leases
FR954        FED_PRED_NET_INT_INC_FTE            Fed Predecessor Net Interest Income FTE 
RR999        STANDARD_ERROR_SPECIAL_EPS          Standard Error of Special EPS           
RR996        STANDARD_ERROR_BASIC_EPS            Standard Error of Basic EPS             
BS020        BS_TOT_LOAN                         Total Loans                             
G0432        PG_CERTAINTY_EQUIV_PVFP             Product/Geographic Certainty Equivalent PVFP
S6434        ARDR_TOTAL_COMMON_EQUITY            ARDR Total Common Equity                
F0646        INDUSTRY_SPECIFIC_EBITDA_MARGIN     Industry Specific EBITDA Margin         
M4779        NET_PRV_UNDEV_BOE_RSRVS_NSEA        Net Proved Undeveloped BOE Reserves NSea
M4778        NET_PRV_DEVELOPED_BOE_RSRVS_NSEA    Net Proved Developed BOE Reserves NSea  
G0399        PG_TCE_IN_USD_PER_DAY               PG Time Charter Equivalent in USD / Day 
RA635        RTG_MIKUNI_EQY_LINKED_RTG_WATCH     Mikuni Equity Linked Rating Watch       
RA454        RTG_MIKUNI_EQY_LINKED_RTG_DT        Mikuni Equity Linked Rating Date        
RR344        MIN_INT_TO_TOT_LIAB_AND_EQY         Minority Interest To Total Liab & Equity
RR422        EQY_SEC_TO_TOT_INVEST               Equity Securities to Tot Invst          
BS652        BS_PENS_INVESTED_DOM_EQUITIES       Pension Invested in Domestic Equities   
A1560        ARD_ENRGY_BOE_RSRV_END_YR_LAMR      ARD Energy-BOE Reserves-End Year-Latin America
A1600        ARD_ENRGY_BOE_RSRV_END_YR_ASIA      ARD Energy-BOE Reserves-End Year-Asia   
A1550        ARD_ENRGY_BOE_RSRV_END_YR_NAMR      ARD Energy-BOE Reserves-End Year-North America
A1580        ARD_ENRGY_BOE_RSRV_END_YR_AFRICA    ARD Energy-BOE Reserves-End Year-Africa 
BS969        BS_HOME_EQTY_60+_DAY_DELQ_RATE      Home Equity Loan 60+ Day Delinquency Rate
IS696        IS_HOME_EQTY_LOANS_CHG_OFF_RATE     Home Equity Loans Net Charge Off Rate   
BS970        BS_HOME_EQTY_90+_DAY_DELQ_RATE      Home Equity Loan 90+ Day Delinquency Rate
BS967        BS_HOME_EQTY_30+_DAY_DELQ_RATE      Home Equity Loan 30+ Day Delinquency Rate
IA619        RUSSELL_FALLING_EARNINGS_ESTS       Russell Falling Earnings Estimates      
IA622        RUSSELL_RISING_EARNINGS_ESTS        Russell Rising Earnings Estimates       
BM030        AVG_OTHER_INT_EARN_LIABS_RATE       Average Other Interest Earning Liabilities Rate
IN861        EV_&_DVMNT_CST_TO_MCFE_RSRVS_MED    EV and Development Costs to MCFE Reserves - Median
IR556        LEVEL_3_AST_TO_TOT_EQTY_MEDIAN      Level 3 Assets to Total Equity Median   
RR336        ACCT_PAY_TO_TOT_LIAB_AND_EQY        A/P To Total Liab & Equity              
J3538        ARDJ_SUB_EQTY                       Japan ARD Subtotal Equity               
M1060        VALUE_ADD_EQTY_INC_METHOD_RESULT    Value Added - Equity Income Method Result
M4814        ASSET_ALLOC_PRIVATE_EQY_INVEST      Asset Allocation - Private Equity Investments
BS181        BS_RENTAL_EXP_YEAR_1                Rental Expense - Year 1                 
FY409        FED_FINL_HIGH_HOLDER_%_EQY          Fed Financial High Holder Percent Equity
IX138        EEPS_CURRENT_QUARTER                Estimated Earnings Per Share Current Quarter
IX139        EEPS_NEXT_QUARTER                   Estimated Earnings Per Share Next Quarter
IM079        IS_OPERATING_ROE_AS_REPORTED        Operating Return on Equity As Reported  
BS821        BS_ADJ_TOTAL_LIABS_AND_EQUITY       Adjusted Total Liabilities and Equity   
BM108        BS_AFS_ASSETS_EQUITY                AFS Assets - Equity                     
IM068        IS_GAIN_LOSS_FR_UNCONS_EQTY_INT     Gain Loss from Unconsolidated Equity Interest
BM016        BS_TANGIBLE_COMMON_EQUITY_AR        Tangible Common Equity - As Reported    
EZ013        BEST_EARN_EST_CRNCY                 Earnings Estimates Currency             
X1689        OSFI_CPTL_EQUIVALENCY_ACCRD_EXPN    OSFI Capital Equivalency Accrued Expenses
P1022        PRIVATE_EQUITY_CO_BUY_VAL           Private Equity Company Buy Value        
FC809        FDIC_UNUSED_COMMIT_COML_RE_OTH      FDIC Unused Commitments Comm RE Other Land
FR640        FED_P&C_TOTAL_EQUITY                Fed Property & Casualty Total Equity    
RT044        PREV_BUS_ANN_TRR_3YR                3 Year Ann Total Return - Previous Business Day
IA647        RUSSELL_PORT_PX_TO_ERN_MEDIAN       Russell Portfolio Price to Earnings - Median
PG638        PG_DISTRIBUTABLE_EARNINGS_NAME      Product/Geographic Distributable Earnings Name
PG970        PG_DISTRIBUTABLE_EARNINGS_VALUE     Product/Geographic Distributable Earnings Value
A8877        ARD_CORE_EQUITY_RATIO_LOCAL         ARD Core Equity Ratio Local Standard    
R1180        ARDR_POLICYHOLDERS_EQUITY           ARD Ref Policyholder's Equity           
A7235        ARD_PRIVATE_EQUITY_INVESTMENTS      ARD Private Equity Investments          
A5493        ARD_CASH_EQUITY_WITH_TREASURER      ARD Cash Equity with Treasurer          
R5022        ARDR_RESTRICTED_EQUITY              ARD Ref Restricted Equity               
A8109        ARD_NET_INCOME_TOTAL_EQUITY         ARD Net Income - Total Equity           
A4853        ARD_PREMIUM_REPAYMENT_IN_EQUITY     ARD Premium Repayment In Equity         
RR634        GEO_GROW_EARN_ASSET                 Earning Assets - 5 Yr Geometric Growth  
FR098        FED_INCOME_BEFORE_TAX_XO_FTE        Fed Income Before Tax Extraordinary FTE 
J0943        ARDJ_EQUITY_METHOD_INVESTMENTS      Japan ARD Equity Method Investments     
J0271        ARDJ_LEGAL_RESERVE_EQUITY           Japan ARD Legal Reserve Equity          
R3080        ARDR_EQUITY_METHOD_LOSS             ARD Ref Equity Method Loss              
J3492        ARDJ_EQUITY_REGULATION_RATIO        Japan ARD Equity Regulation Ratio       
B0615        ARD_TIER_1_COMMON_EQUITY_RATIO      ARD Tier 1 Common Equity Ratio          
J2480        ARDJ_GAIN_UNDER_EQUITY_METHOD       Japan ARD Gain Under Equity Method      
S6530        ARDR_EXPLOR_EVAL_DVMNT_EXP_GROSS    ARDR Exploration Evaluation & Dvmnt Expend Gross
A1650        ARD_ENRGY_AVG_PRICE_BOE_UNHEDGED    ARD Energy-Avg $/BOE (Unhedged)         
FC715        FDIC_%_NET_CHGOFF_UNSEC_RE          FDIC % Net Charge-Offs Unsecured by Real Estate
J2777        ARDJ_VOL_RSR_ADV_DEP_REA            Japan ARD Voluntary Rsrv For Adv'd Depr Of Real Es
J4310        ARDJ_END_BAL_EQUIV_VAL_LEASE        Japan ARD  End Balance of Eqvlnt Value of Lease
A2909        ARD_STORE_PREOPENING_EXP            ARD Store Pre-Opening Expenses          
FC217        FDIC_GR_CHGOFF_RE_FOREIGN           FDIC Gross Chg-Off Real Est Lns Foreign Offices
J3070        ARDJ_CAS_EQU_SEC_YR_END_CAS         Japan ARD Cash Equiv Secrty In Yr End Cash & Cash
ES538        CDP_CH4_EMISSIONS_CO2_EQUIV         CDP Reported CH4 (Metric Tonnes CO2 Equivalent)
ES546        CDP_SF6_EMISSIONS_CO2_EQUIV         CDP Reported SF6 (Metric Tonnes CO2 Equivalent)
ES544        CDP_PFC_EMISSIONS_CO2_EQUIV         CDP Reported PFC (Metric Tonnes CO2 Equivalent)
ES542        CDP_HFC_EMISSIONS_CO2_EQUIV         CDP Reported HFCs (Metric Tonnes CO2 Equivalent)
B1601        ARD_REIT_OTH_SH_OPERATING_UNITS     ARD REITs Oth (Minority) Share of Operating Units
B1600        ARD_REIT_CO_SH_OPERATING_UNITS      ARD REITs Company's Share of Operating Units
FC575        FDIC_UNUSED_COMMIT_RE_&_CONST       FDIC Unused Commitments Comm RE & Construction
FR813        FED_UPB_HFT_RE_LOANS_CONS           Fed Unpd Prin Bal Held for Trading RE Lns Cons
FC211        FDIC_GR_CHGOFF_RE_DOM               FDIC Gross Chg-Offs Real Est Lns Domestic Offices
IS811        IS_ADJ_EPS                          Adjusted EPS                            
FC232        FDIC_RECOV_RE_NON-US                FDIC Recoveries Real Est Loans Non-US Address
FC210        FDIC_GR_CHGOFF_RE_NON-US            FDIC Gross Chg-Offs Real Est Loans Non-US Address
B1607        ARD_REIT_REDEEM_NONCONTROL_INT      ARD REITs Tot Val Redeemable Noncontrol Interests
B1604        ARD_REIT_TOT_NUM_SHARES_UNITS       ARD REITs Total # of Common Shares and Oper Units
FC063        FDIC_OREO_SALES_G/L                 FDIC OREO Sales Gains/Losses            
J3525        ARDJ_CAS_CAS_EQU_END_YR_COV_PG      Japan ARD Cash & Cash Equiv At End Of Yr-Cover Pag
J3067        ARDJ_CAS_CAS_EQU_END_YR_FOO         Japan ARD Cash & Cash Equiv At End Of Yr-Footnote
BE709        BEST_EPS_MARKET_MEDIAN              BEst EPS Market Convention Median       
BE711        BEST_EPS_MARKET_HI                  BEst EPS Market Convention High         
BE712        BEST_EPS_MARKET_LO                  BEst EPS Market Convention Low          
G3765        PG_CERTAINTY_EQUIV_PVFP_NAME        Product/Geographic Certainty Equivalent PVFP Name
FC253        FDIC_NET_CHGOFF_RE_NON_US           FDIC Net Charge-Off Real Est Loans Non-US Address
F0400        FED_OVR_%_CRE_LNS_APT_&_FRMLND      Fed Overdue % CRE Loans Incl Apartments & Frmlnd
F0376        FED_30+_PD_%_CRE_APT_&_FRMLND       Fed 30+ Past Due % CRE Lns Incl Apts & Frmlnd
F0392        FED_NONACCRL_%_CRE_APT_&_FRMLND     Fed Nonaccrual % CRE Lns Incl Apartments & Frmlnd
F0384        FED_90+_PD_%_CRE_APT_&_FRMLND       Fed 90+ Past Due % CRE Lns Incl Apts & Frmlnd

FC254        FDIC_NET_CHGOFF_RE_DOM              FDIC Net Chg-Offs Real Est Loans Domestic Offices
J1367        ARDJ_CASH_CASH_EQUIV_END_YR_CF      Japan ARD Cash & Cash Equiv At End Of Yr-Cash Flow
G3728        PG_SHIPPING_CAPACITY_IN_TEU_NAME    Product/Geographic Shipping Capacity in TEU Name
G7061        PG_SHIPPING_CAPACITY_IN_TEU_VAL     Product/Geographic Shipping Capacity in TEU Value
G3731        PG_CONTAINER_SHIP_VOL_IN_TEU_NM     PG Container Shipping Volume in TEU Name
G7064        PG_CONTAINER_SHIP_VOL_IN_TEU_VAL    PG Container Shipping Volume in TEU Value
G3732        PG_TCE_IN_USD_PER_DAY_NAME          PG Time Charter Equivalent in USD / Day Name
G7065        PG_TCE_IN_USD_PER_DAY_VALUE         PG Time Charter Equivalent in USD / Day Value
G7069        PG_NEWBLDGS_CONTAINER_CAP_TEU_VL    PG Newbuildings Container Capacity in TEU Value
G7106        PG_CONTAINER_CARGO_HNDL_TEU_VAL     PG Container Cargo Handled TEU Value    
G3736        PG_NEWBLDGS_CONTAINER_CAP_TEU_NM    PG Newbuildings Container Capacity in TEU Name
DX111        EUROZONE                            Euro-Zone Indicator                     
IA621        RUSSELL_POSITIVE_ERN_SURPRISES      Russell Positive Earnings Surprises     
IA620        RUSSELL_NEGATIVE_ERN_SURPRISES      Russell Negative Earnings Surprises     
FC371        FDIC_PAST_DUE_30+_RE_DOM_OFFICES    FDIC 30-89 Days Past Due RE Lns Domestic Offices
B5951        ARD_SS_INVEST_HCR_LIFE_SCIENCE      ARD SS Investment HCR (Life Science)    
R5981        ARDR_ALLOW_DBT_ACCT_CONT_RE_SALE    ARD Ref Allow for Doubtful Acct-Contract/RE Sales
M4850        NOI_MARGIN_HCR_SEN_HOUSING_OPER     NOI Margin HCR Senior Housing (Operating)
M4864        SS_NOI_CASH_HCR_LIFE_SCIENCE        Same Store NOI Cash HCR (Life Science)  
M4858        SS_NOI_MARGIN_HCR_MEDICAL_OFFICE    Same Store NOI Margin HCR (Medical Office)
R7297        ARDR_COST_INVST_ADVISORY_BUSN_RE    ARD Ref Costs of Inv Advisory Busn on Real Estate
FC392        FDIC_PAST_DUE_90+_RE_NON_US         FDIC 90+ Days Past Due RE Loans Non-US Address
FC370        FDIC_PAST_DUE_30+_RE_NON_US         FDIC 30-89 Days Past Due RE Loans Non-US Address
FC451        FDIC_NONCUR_ASSET_+OREO_TO_ASSET    FDIC Non-Current Assets plus OREO to Assets
M4859        SS_NOI_HCR_MEDICAL_OFFICE           Same Store NOI HCR (Medical Office)     
FR515        FED_FDIC_LOSS_SHARING_OREO          Fed FDIC Loss-Sharing OREO              
S0920        ARDR_NOI_GAIN_SALE_REAL_ESTATE      ARD Ref NOI Gain/(Loss) on Sale of Real Estate
F0603        10_YEAR_AVERAGE_EPS                 10 Year Average Earnings Per Share      
F0351        FED_30+_PD_CRE_LNS_APT_&_FRMLND     Fed 30+ Past Due CRE Lns Incl Apartments & Frmlnd
F0355        FED_90+_PD_CRE_LNS_APT_&_FRMLND     Fed 90+ Past Due CRE Lns Incl Apartments & Frmlnd
S4413        ARDR_TGT_PNSN_ASSET_CAT_RE_%        ARD Ref Target Pension Plan Asset Category RE %
FC393        FDIC_PAST_DUE_90+_RE_DOM_OFFICES    FDIC 90+ Days Past Due RE Loans Domestic Offices
G3773        PG_CONTAINER_CARGO_HNDL_TEU_NM      PG Container Cargo Handled TEU Name     
RR980        CORRELATION_DILUTED_EPS             Correlation of Diluted EPS              
B1007        ARD_BOE_END_YEAR_US                 ARD Energy-BOE-End Yr-US                
RX462        FDIC_COML_RE_LOANS_%_TOTAL_LOANS    FDIC Commercial Real Estate Loans % of Total Loans
RR998        CORRELATION_SPECIAL_EPS             Correlation of Special EPS              
RR995        CORRELATION_BASIC_EPS               Correlation of Basic EPS                
G7098        PG_CERTAINTY_EQUIV_PVFP_VALUE       Product/Geographic Certainty Equivalent PVFP Value
A6917        ARD_NET_DECR_CASH_EQUIV_EX_SUBS     ARD Net Decr Cash& Equiv From Excl Subs From Cons
A1548        ARD_ENERGY_BOE_PRODUCTION_NAMR      ARD Energy-BOE-Production-North America 
A1547        ARD_ENERGY_BOE_SALES_NAMR           ARD Energy-BOE-Sales-North America      
A1546        ARD_ENERGY_BOE_PURCHASES_NAMR       ARD Energy-BOE-Purchases-North America  
A1543        ARD_ENERGY_BOE_REVISIONS_NAMR       ARD Energy-BOE-Revisions-North America  
A1542        ARD_ENERGY_BOE_START_YR_NAMR        ARD Energy-BOE-Start Yr-North America   
A1541        ARD_ENERGY_BOE_DEV_RSRV_WORLD       ARD Energy-BOE-Dev Reserves-Worldwide   
A1553        ARD_ENERGY_BOE_REVISIONS_LAMR       ARD Energy-BOE-Revisions-Latin America  
A1574        ARD_ENERGY_BOE_IMPR_REC_AFRICA      ARD Energy-BOE-Impr Rec-Africa          
A1579        ARD_ENERGY_BOE_OTH_CHG_AFRICA       ARD Energy-BOE-Other Chg-Africa         
A1581        ARD_ENERGY_BOE_DEV_RSRV_AFRICA      ARD Energy-BOE-Dev Reserves-Africa      
A1592        ARD_ENERGY_BOE_START_YR_ASIA        ARD Energy-BOE-Start Yr-Asia            
A1594        ARD_ENERGY_BOE_IMPR_REC_ASIA        ARD Energy-BOE-Impr Rec-Asia            
A1599        ARD_ENERGY_BOE_OTHER_CHG_ASIA       ARD Energy-BOE-Other Chg-Asia           
A1601        ARD_ENERGY_BOE_DEV_RSRV_ASIA        ARD Energy-BOE-Dev Reserves-Asia        
A1646        ARD_ENERGY_AVG_BOE_HEDGED           ARD Energy-Avg $/BOE (Hedged)           
A1647        ARD_ENERGY_AVG_MCFE_HEDGED          ARD Energy-Avg $/MCFE (Hedged)          
A1651        ARD_ENERGY_AVG_MCFE_UNHEDGED        ARD Energy-Avg $/MCFE (Unhedged)        
A1549        ARD_ENERGY_BOE_OTHER_CHG_NAMR       ARD Energy-BOE-Other Chg-North America  
A1572        ARD_ENERGY_BOE_START_YR_AFRICA      ARD Energy-BOE-Start Yr-Africa          
A1551        ARD_ENERGY_BOE_DEV_RSRV_NAMR        ARD Energy-BOE-Dev Reserves-North America
